5212 84
 -1.649211 88.301094 28.215954
-1.730142 95.899323 9.942801
0.456145 95.871773 -18.585608
0.229386 97.980125 -24.313875
-2.609549 92.758194 -60.736923
-3.385726 93.240974 -72.989792
-3.980621 89.981743 -82.978348
-1.700165 92.134529 37.550751
-1.106463 92.950691 47.429760
0.022031 84.071915 81.749596
-1.718856 13.398497 122.550812
-2.162110 -7.768557 125.007210
-7.770138 -91.139038 71.975807
-3.433414 -78.393295 -4.437391
-2.810785 -51.574646 -12.673218
-0.670300 -30.385742 -23.718325
5.311645 86.085861 25.383917
-9.811912 86.396210 24.904713
46.356121 78.988853 1.532459
-51.022545 79.915146 1.714153
11.827188 88.435425 11.715809
-13.018647 90.314804 10.598560
25.313625 85.785248 39.047691
-30.949326 86.138603 38.563820
22.412003 90.780594 49.983845
-28.483181 91.208069 48.938831
32.882683 84.364815 -0.891374
-37.097176 87.669075 -2.031809
50.442390 71.345741 14.529893
-54.157249 76.130798 13.458548
50.646740 76.033394 25.422056
-54.895985 79.192101 24.187986
57.596603 61.753956 20.604650
-64.181625 65.821457 23.105024
74.915321 32.371078 -0.839362
-75.385399 38.237263 -6.610406
45.852024 73.989075 -19.845070
-48.821442 77.512062 -22.029633
61.700558 56.781841 4.617671
-65.819412 63.500725 1.430554
29.459366 80.063194 -28.192556
-30.020941 79.417137 -25.355934
60.269833 61.171574 -16.206015
-62.897503 64.661331 -18.876310
27.813869 83.858414 -5.524081
-30.829260 87.239136 -8.122375
12.360075 91.664459 -3.791643
-11.578909 94.063599 -4.662642
11.027874 89.922592 -15.835090
-11.644338 91.519501 -15.426816
53.813332 70.489838 42.244843
-57.419971 71.355652 43.377575
60.985821 -2.459709 -0.406514
-65.591789 4.913470 -4.923395
67.615242 -20.767170 12.115575
-76.404778 -11.828140 4.733964
48.688686 -52.613930 7.928329
-59.159561 -47.686359 6.245709
54.182835 -11.492156 -28.373446
-58.155663 -9.024608 -35.514523
47.874847 42.738815 -7.596240
-51.297722 49.177376 -16.222218
48.816345 26.423098 -18.237183
-54.910755 34.828266 -24.680773
48.562302 19.950766 -68.313179
-57.876614 28.027817 -64.486267
64.670174 14.290586 -11.950636
-69.839798 19.509411 -15.210569
54.172169 11.674273 -39.508682
-59.672565 22.604002 -38.777451
42.335396 48.614079 -39.097641
-41.843864 54.717129 -38.002510
35.897808 52.645142 -77.521347
-36.138153 62.688404 -76.997192
57.794575 40.784195 30.824253
-49.565567 45.470848 14.634185
59.660591 19.435350 76.965492
-68.330925 16.878292 77.243935
22.442043 77.356590 -70.989449
-30.627386 74.317169 -67.272331
11.476418 85.299255 -82.083763
-17.575518 86.890701 -81.744576
-73.786110 17.441835 46.612038
67.692085 2.811909 50.881474
-66.070865 -44.355738 16.511723
-65.937437 -43.882133 13.966360
-66.873654 -44.723320 22.114274
-64.557893 -48.734440 26.426953
-64.960307 -47.792155 23.190495
-69.267585 -48.204939 37.803952
-67.007474 -45.657083 29.343461
-66.638246 -47.605238 34.117877
-67.225639 -50.176766 37.427497
-65.422669 -48.510401 29.997243
-69.903238 -49.051156 44.945874
-68.948366 -51.822257 49.465112
-67.723234 -54.032499 47.896775
-66.569798 -54.511749 44.887045
-66.358665 -53.306478 40.774986
-71.965849 -46.640653 54.276377
-71.583443 -46.876164 52.098582
-71.480121 -48.280059 60.785601
-71.263459 -48.997795 58.006476
-70.254613 -50.783705 55.561691
-69.578590 -51.478255 52.976944
-69.622060 -52.130945 58.789506
-68.296366 -54.633353 55.676468
-68.088244 -54.422556 61.074359
-67.499743 -55.196072 51.544092
-66.711763 -57.103602 54.641312
